Date,Price,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,
2001-01-12,84.50863647460938,0.0,132.0,0.0,133.71875,131.28125,132.6875,0.0,7244000
2001-01-16,85.04883575439453,0.0,132.84375,0.0,133.1875,131.515625,132.0,0.0,8542200
2001-01-17,85.43894958496094,0.0,133.453125,0.0,135.046875,132.640625,134.84375,0.0,7851400
2001-01-18,86.28926086425781,0.0,134.78125,0.0,135.703125,132.9375,133.4375,0.0,8107000
2001-01-19,85.799072265625,0.0,134.015625,0.0,136.1875,133.875,136.1875,0.0,7782500
2001-01-22,86.3692626953125,0.0,134.90625,0.0,135.78125,133.5625,134.25,0.0,7050900
2001-01-23,87.04951477050781,0.0,135.96875,0.0,136.65625,134.15625,134.46875,0.0,8463100
2001-01-24,87.3095932006836,0.0,136.375,0.0,137.3125,135.84375,136.25,0.0,6199900
2001-01-25,87.08952331542969,0.0,136.03125,0.0,137.25,135.65625,136.25,0.0,10818300
2001-01-26,86.98944854736328,0.0,135.875,0.0,136.125,134.453125,135.15625,0.0,7136800
2001-01-29,87.45364379882812,0.0,136.60000610351562,0.0,136.89999389648438,135.3699951171875,135.5,0.0,6705900
2001-01-30,88.22189331054688,0.0,137.8000030517578,0.0,137.9199981689453,135.7899932861328,136.3000030517578,0.0,7069100
2001-01-31,87.72254943847656,0.0,137.02000427246094,0.0,138.6999969482422,136.60000610351562,137.39999389648438,0.0,9706900
2001-02-01,88.30513000488281,0.0,137.92999267578125,0.0,137.9499969482422,136.25,137.10000610351562,0.0,8239100
2001-02-02,86.30126953125,0.0,134.8000030517578,0.0,137.99000549316406,134.75,137.39999389648438,0.0,8276600
2001-02-05,86.9350357055664,0.0,135.7899932861328,0.0,135.94000244140625,134.75,134.8000030517578,0.0,4352900
